,Pitcher,Batter,BatterTeam,TaggedPitchType,PitchCall,PlayResult,RelSpeed,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide
139,Matthew  Dalquist,Drew  Culbertson,Mizzou 2024,Fastball,Foul,,87.65180052177617,20.22315639105244,10.115916206837008,2.755161149840196,0.8579025835072678
140,Matthew  Dalquist,Drew  Culbertson,Mizzou 2024,Slider,Foul,,81.95939053111732,6.544826416384439,-4.663635476625477,2.2223356702081385,-0.3191521477470306
141,Matthew  Dalquist,Drew  Culbertson,Mizzou 2024,Changeup,StrikeSwinging,StrikeoutSwinging,82.95703057066882,12.243315162779512,17.29297226604785,0.8786727786379704,0.6282220698982156
0,Matthew Dalquist,Colton Griffin,Stephen f. austin state,Fastball,BallCalled,,89.19465037844543,19.907699346271283,12.503234728969591,1.5971818154875026,1.9191140843314705
1,Matthew Dalquist,Colton Griffin,Stephen f. austin state,Fastball,InPlay,Out,89.7942583817108,18.715207554155118,12.812255783632525,2.9982967276162187,0.2177371631394266
2,Matthew Dalquist,Cole Hill,Stephen f. austin state,Fastball,StrikeCalled,,88.47992504363657,19.230111019244905,12.818745625418677,1.653188900328986,-0.0883211421074259
3,Matthew Dalquist,Cole Hill,Stephen f. austin state,Fastball,StrikeCalled,,89.19476705570511,18.591321799816523,12.58649936802431,2.862913249266103,-0.882324836343845
4,Matthew Dalquist,Cole Hill,Stephen f. austin state,Slider,Foul,,83.96813313620632,7.289024908064682,-2.7725565938441146,2.695989689261279,-1.1724485169323422
5,Matthew Dalquist,Cole Hill,Stephen f. austin state,Fastball,InPlay,Out,89.69012879000154,19.436433953545997,12.63184121424073,3.17405105581312,1.1566375203719996
6,Matthew Dalquist,Brock Knoerr,Stephen f. austin state,Fastball,BallCalled,,88.49134112562423,18.508259358225445,13.63937051424278,2.175168882837544,1.7825352261223184
7,Matthew Dalquist,Brock Knoerr,Stephen f. austin state,Fastball,InPlay,Single,89.52705383974993,18.331300702838277,13.4320939954913,3.4196739164554546,0.7611592469375341
8,Matthew Dalquist,Cal Martin,Stephen f. austin state,Fastball,StrikeCalled,,89.29123584418771,19.135109157186413,13.08347849661413,2.9980764269507536,-0.3911603715375475
9,Matthew Dalquist,Cal Martin,Stephen f. austin state,Curveball,StrikeCalled,,76.34623790995018,-4.75551920240045,-12.860155070025204,3.0185051130776914,-1.0690579719708229
10,Matthew Dalquist,Cal Martin,Stephen f. austin state,Fastball,InPlay,Out,89.63150254907757,19.16122110864578,12.977789862875012,3.414218639186082,-0.0716704167890857
22,Matthew Dalquist,Tyree Carr,Stephen f. austin state,Fastball,StrikeSwinging,,88.82635171180725,18.917450188828383,12.460125505794164,3.0226671096698903,1.519215629492737
23,Matthew Dalquist,Tyree Carr,Stephen f. austin state,Changeup,BallCalled,,81.491470762725,10.120426424539126,16.38260339457315,1.399346436970743,2.06079628046628
24,Matthew Dalquist,Tyree Carr,Stephen f. austin state,Curveball,BallCalled,,71.97682150048998,-8.356789754154548,-14.9106440001939,3.14911588022937,1.857848850626029
25,Matthew Dalquist,Tyree Carr,Stephen f. austin state,Fastball,StrikeSwinging,,88.4683899767829,18.648038894164,12.864377614209824,2.0381576675365767,1.7480194655755037
26,Matthew Dalquist,Tyree Carr,Stephen f. austin state,Fastball,StrikeSwinging,StrikeoutSwinging,89.52770354731658,19.311269745405728,13.084362505184476,2.1376150055341845,1.8715504667331264
